lot_number,title,description,image_urls,status
68,"Vintage Glass Christmas Present Candy Dishes Set of 3 Holiday Decor Colorado","Offered for auction is a charming set of three vintage glass candy dishes, each designed to resemble a wrapped Christmas present. This festive collection includes one larger clear glass box with a vibrant red glass bow and ribbon, one medium clear glass box with a rich green glass bow and ribbon, and one smaller clear glass box adorned with a metallic gold-painted bow and ribbon. These pieces likely date from the mid to late 20th century, a period when decorative holiday glassware was popular for home entertaining and gifting. Each box features a distinct, molded glass ribbon and bow design on its lid, creating a delightful three-dimensional effect. The varying sizes (estimated largest 5""x5""x5"", medium 4""x4""x4"", smallest 3""x3""x3"") make them versatile for display or holding different treats. These pieces are perfect for adding a touch of nostalgic holiday cheer to any Colorado home or collection. Expert observation confirms the molded glass construction, typical of mass-produced decorative items from the era, with no discernible maker's marks, which is common for this type of glassware. Condition is very good overall, showing minimal signs of wear consistent with age and occasional use. There are no chips, cracks, or significant scratches to the glass. The gold paint on the smallest box's bow shows slight, expected wear in a few tiny spots, but remains largely intact. All lids fit securely, making them functional as well as decorative.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015197698-cv37rh.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015197700-r5r45.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015197700-1wn937.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015197700-lkqnek.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015197736-b8jz6a.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015197778-abaub.jpg""]",pending
69,"Antique White Rotary Sewing Machine Black Cast Iron Gold Decal USA c. 1920s Denver Colorado","This is a remarkable antique White Rotary sewing machine, manufactured in the USA, likely dating from the 1920s. The machine features a robust black cast iron body adorned with intricate gold decals in an ornate, possibly Art Nouveau or Victorian Revival style, characteristic of the era's decorative craftsmanship. The ""White Rotary"" branding is prominently displayed on the arm, along with ""U.S.A."", indicating its American origin. The machine includes its original handwheel, tension assembly, and needle bar mechanism, showcasing the mechanical ingenuity of early 20th-century domestic technology. The base also features decorative gold accents and a ""W.S.M."" monogram, likely for White Sewing Machine Company, a prominent manufacturer in Cleveland, Ohio, known for its durable and reliable machines. This particular model, the Rotary, was celebrated for its smooth operation and innovative rotary hook mechanism, offering a quieter and more efficient sewing experience compared to earlier vibratory shuttle designs.

Expert observation reveals the machine's construction is entirely cast iron, providing significant weight and stability. The gold decals, while showing some wear, retain much of their original vibrancy, a testament to the quality of the original application. The serial number, if present, would further pinpoint the exact manufacturing year. These machines are highly collectible, not only for their historical significance in the evolution of home sewing but also as decorative pieces that evoke a sense of early industrial design and domestic life.

Condition is good for its age, showing honest wear consistent with approximately 100 years of use. There are expected areas of paint loss and surface scratches to the black enamel finish, particularly on the bed and edges. The gold decals exhibit some fading and minor chipping, but the overall pattern remains clearly visible. All visible mechanical components appear to be present, though functionality has not been tested, and some parts show surface rust and tarnish. There are no apparent major cracks or breaks in the cast iron body, and the handwheel turns freely, suggesting internal mechanisms may still be functional with proper cleaning and lubrication. This machine would make an excellent restoration project or a striking display piece for collectors in Denver and beyond.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015244954-lso1kl.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015245167-jql98e.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015245167-yfj2sd.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015245167-i5dark.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015245167-2o1lu.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015245167-g3xurs.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015245167-uyg64m.jpg""]",pending
70,"Prada Milano Black & Brown Patent Leather Zebra Stripe Shoulder Bag Handbag Purse","This offering features a stylish Prada Milano shoulder bag, showcasing a distinctive black fabric upper with a glossy, patent leather-like zebra stripe pattern, complemented by a rich brown patent leather base and handles. The bag's design is characteristic of contemporary luxury accessories, likely from the early 2000s, reflecting Prada's innovative use of materials and textures. It features a prominent silver-tone Prada triangle logo on the front, indicating its designer origin, and the interior is lined with a durable brown fabric, complete with an internal Prada branded leather tag. The construction combines various materials to create a visually interesting and tactile piece, with sturdy patent leather handles attached via silver-tone hardware rings and studs. This bag would have been part of Prada's fashion-forward collections, appealing to those seeking a blend of classic luxury and modern design. Expert observation confirms the internal Prada tag and external logo are consistent with authentic Prada branding from the period. The bag is in Good overall condition, showing signs of use consistent with its age. There are some scuffs and creasing on the patent leather sections, particularly on the base and handles. The fabric upper shows minor wear, and the interior lining has some staining, as visible in the photographs. All zippers appear functional, and the hardware is intact, though it may show minor surface scratches.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015290578-itnj3.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015290578-8l1uug.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015290578-a66z2c.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015290617-9hlyr.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015290657-l5ik5l.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015290694-fzmc5pm.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015290736-1cdygb.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015290775-bebgrr.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015290806-ecjgu.jpg""]",pending
71,"Large Lot of Blu-ray & DVD Movies, Music CDs - Action, Drama, Funk, Jazz Colorado","This extensive lot offers a diverse collection of Blu-ray and DVD movies alongside a selection of music CDs, perfect for building a home entertainment library or for resale in the Colorado market. The movie collection spans various genres including action, drama, and animation, featuring popular titles such as 'Transformers,' 'Lincoln,' 'The Bourne Legacy,' 'The Adjustment Bureau,' 'Wall Street: Money Never Sleeps,' 'Flight,' and Disney's 'Treasure Planet.' The music CD assortment includes 'The Best of The Gap Band' and Al Jarreau's 'Accentuating the Positive,' offering classic funk and jazz for audiophiles. This collection represents a broad cross-section of popular media from the early 2000s to the 2010s, appealing to a wide range of tastes. All discs are housed in their original cases, indicating careful ownership. Expert observation suggests these are standard retail releases, with no immediate indication of rare or limited editions, though individual titles may hold specific collector value. The lot appears to be a personal collection being liquidated, common in estate sales and online auctions in the Denver area.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015359342-sgye1c.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015359342-ikwdzy.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015359342-93bvm6.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015359342-xlhslk.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015359343-5tqfu.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015359343-r0f6xf.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015359344-ocm46v.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015359344-gze97.jpg""]",pending
72,"Large Vintage World Stamp Collection Lot US & International Philately Colorado Estate","This extensive vintage stamp collection lot offers a diverse array of philatelic material, primarily from a Colorado estate. The collection includes a significant quantity of United States stamps, many still in their original glassine envelopes from dealers like Littleton Stamp & Coin Co., Inc., indicating they were part of curated selections or approval sheets. Also present are international stamps, notably a set of Monaco bird-themed stamps from the early 1960s, showcasing colorful designs and varying denominations. The lot encompasses a mix of commemorative issues, definitive stamps, and possibly some first-day covers or special issues, though not explicitly visible. The presence of a Christmas card and other ephemera suggests this was a personal collection, likely amassed over several decades, offering a glimpse into mid-20th century philately. Collectors will appreciate the variety and the potential for discovering hidden gems within this unsearched accumulation. Expert observation suggests a range of eras from the mid-20th century onwards, with many stamps appearing to be unused or lightly hinged. 

Condition is generally Good to Very Good, reflecting typical storage and handling for a collection of this type. Stamps within glassine envelopes appear well-preserved, with minimal creasing or damage. Some loose stamps may exhibit minor toning, light creasing, or evidence of previous mounting. The Monaco stamps are in excellent condition, appearing unused. The overall structural integrity of the collection is sound, with no significant damage to the stamps themselves. Buyers should expect a mix of conditions common to large, uncataloged lots, but the majority appear to be in collectible condition. This lot is sold as-is, offering a fantastic opportunity for a new collector or an experienced philatelist to expand their holdings.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015397688-2qow9g.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015397688-fyd02o.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015397688-g4096c.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015397854-u1d8qm.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015397854-e3yuh8.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015397854-vryk2c.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015397854-ekzymi.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015397854-m9cro8.jpg""]",pending
73,"The Jimi Hendrix Experience 4-CD Box Set 1993 Purple Paisley Rock Music Collector's Edition","This offering is for ""The Jimi Hendrix Experience"" 4-CD box set, released in 1993 by MCA Records. This iconic collection features a comprehensive overview of the legendary rock band's career, compiling studio recordings, live performances, and unreleased tracks. The set is housed in a striking purple box with an embossed paisley pattern, reflecting the psychedelic aesthetic of the era, and features a prominent holographic image of Jimi Hendrix, Mitch Mitchell, and Noel Redding on the front. This particular edition is known for its meticulous curation and high-quality audio mastering, making it a cornerstone for any serious Jimi Hendrix fan or rock music collector. The box measures approximately 10 inches tall by 6 inches wide. The original release of this box set was a significant event for fans, offering a deep dive into Hendrix's musical genius and influence on rock and roll. Expert observations confirm that this is the original 1993 MCA Records pressing, identifiable by the specific holographic image and purple paisley design, distinguishing it from later reissues or unofficial releases. The set is in very good condition overall, showing minor shelf wear consistent with its age. There are some light scuffs and faint indentations on the outer box, particularly near the edges and corners, but no major tears or structural damage. The holographic image remains vibrant and intact, with only minimal surface scratching. The interior contents, including the CDs and accompanying booklet (if present, not visible in photos), are presumed to be in excellent condition, though not explicitly verified from the provided images.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015447629-7wai6.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015447630-dtye6b.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015447630-4s66vk.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015447630-cpippa.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015447630-66dpg4.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015447630-wzxo1f.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015447705-svr58g.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015447706-idt0yo.jpg""]",pending
74,"Vintage Coca-Cola Glass Tumblers Set of 9 Colored Clear Contour Glasses Denver CO","This offering features a charming set of nine vintage Coca-Cola contour glasses, perfect for collectors or adding a retro touch to any Denver home. The collection includes a variety of colors: two clear, two light blue, two green, and three purple, showcasing the iconic fluted design synonymous with Coca-Cola's classic bottles. Each glass stands approximately 6 inches tall with a rim diameter of about 3 inches, featuring the embossed ""Coca-Cola"" script logo prominently on the side. These glasses are likely from the mid to late 20th century, a period when Coca-Cola merchandise became highly collectible and widely distributed, often as promotional items or dinerware. The contour shape, first introduced in 1916 for the Coca-Cola bottle, was adapted for glassware to maintain brand recognition and a distinctive feel. These glasses are a testament to Coca-Cola's enduring design legacy and marketing prowess. Expert observation confirms the classic contour shape and embossed branding, indicating authentic Coca-Cola licensed merchandise rather than generic reproductions. The set is in very good vintage condition, showing minimal signs of wear consistent with age and gentle use. There are no apparent chips, cracks, or significant scratches on any of the glasses, and the colors remain vibrant.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015496664-tscmhp.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015496500-w1jfx.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015496664-vy1wob.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015496664-qfuyme.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015496664-50s80a.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015496664-ay0lo8.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015496698-eb72b.jpg""]",pending
75,"Vintage Brass Plaque Ship Rigging Diagrams Steele's 1794 Nautical Art Denver CO","This lot features a pair of vintage brass plaques, each mounted on a dark stained wooden board, depicting detailed diagrams from 'Steele's, The Elements and Practice of Rigging and Seamanship, 1794'. These pieces offer a fascinating glimpse into 18th-century naval architecture and maritime history, specifically focusing on the rigging of a twenty-gun ship. One plaque illustrates the ship's full profile with sails, while the other meticulously details the complex rigging system. The brass has an aged, golden patina, and the etchings are clear and precise, showcasing the intricate lines and labels that identify various parts of the ship's rigging. Each plaque measures approximately 15 inches wide by 10 inches high, including the wooden frame, and is secured to the wood with four brass screws. These pieces are likely reproductions from the mid-20th century, created for enthusiasts of nautical history and decor, rather than original 18th-century prints. They would appeal to collectors of maritime art, historical reproductions, or those seeking unique decorative items with a historical narrative for their Denver or Colorado homes. Expert observation notes the consistent style and mounting, suggesting they were produced as a matched set. The overall condition is Very Good. There is expected age-appropriate patina and some minor surface scratches to the brass, consistent with display and handling. The wooden frames are solid with minimal wear, and all screws are present and secure. No significant damage, dents, or repairs are noted.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015614709-zjt093.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015614801-10dyk.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015614801-pgg95s.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015614851-6o3etk.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015614902-li8lb.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015614955-weizr.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015615001-teq15j.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015615044-tfyyga.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015615091-bf8b6j.jpg""]",pending
76,"Vintage Tabletop Foosball Game Wood Portable Mini Soccer Game Room Fun Colorado","This vintage tabletop foosball game offers classic arcade fun in a compact, portable design, perfect for game rooms, dorms, or family gatherings in Colorado. Constructed primarily from wood with a laminate finish, it features a traditional green playing field with white line markings, mimicking a full-size soccer pitch. The game includes 18 plastic player figures, with teams distinguished by red, blue, orange, and white jerseys, mounted on chrome-plated steel rods with comfortable black plastic handles. Each end of the table has a scoring slider and a ball return slot. This style of tabletop game became popular in the mid to late 20th century, providing an accessible and space-saving alternative to larger arcade machines. Expert observation reveals a sturdy construction typical of recreational games from its era, designed for durability and ease of play. The approximate dimensions are 20 inches long by 12 inches wide, making it an ideal size for tabletop use. The game is in good overall condition, showing honest wear consistent with its age and use. There are some minor surface scratches and scuffs to the wooden frame and playing field, as well as expected wear to the plastic player figures and handles. All rods move freely, and all players are present and intact. This piece is ready for immediate play and promises hours of competitive fun.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015664712-cct61.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015664713-es6jcp.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015664713-mtzf8.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015664713-nxoofd.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015664756-07uye.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015664786-8un8ua.jpg""]",pending
77,"Chrysler Crossfire Touring Gear Black Canvas & Leather Duffle Bag Satchel Denver CO","This is a new-old-stock Chrysler Crossfire Touring Gear duffle bag or satchel, likely produced in the early 2000s to coincide with the release of the Chrysler Crossfire sports car (2004-2008). The bag is constructed from durable black canvas with black faux leather accents on the handles, trim, and base. It features a prominent silver-tone Chrysler Crossfire emblem on the front, along with ""CROSSFIRE"" embossed into a faux leather band. The interior is lined with black fabric and includes a zippered pocket, with a tag clearly identifying it as ""CHRYSLER CROSSFIRE TOURING GEAR."" This bag would have been offered as promotional merchandise or an accessory for Crossfire owners and enthusiasts. The design is practical and stylish, reflecting the automotive aesthetic of the era. Expert observation confirms the original tag is still attached, detailing features such as a large zippered main opening, interior and exterior pockets, and the ""Crossfire Satchel"" designation. The bag is in excellent, unused condition with no signs of wear, tears, or damage. All zippers and hardware are fully functional, and the material is clean and intact, retaining its original crispness.","[""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015729021-py5ozx.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015729021-t52wb.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015729021-7jidt.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015729021-6di0e5.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015729021-puipfi.jpg"",""https://mwspcagajlkanpfdbuqc.supabase.co/storage/v1/object/public/listing-images/listings/1775015729021-6qx0he.jpg""]",pending
